Stock,Hedge Regime,Spot Shock,Vol Shock,PnL
HDFC Bank,Unhedged,-2%,-20%,-4931.93
HDFC Bank,Unhedged,-2%,+0%,-2563.2
HDFC Bank,Unhedged,-2%,+20%,-64.76
HDFC Bank,Unhedged,-1%,-20%,-3814.77
HDFC Bank,Unhedged,-1%,+0%,-1572.89
HDFC Bank,Unhedged,-1%,+20%,821.74
HDFC Bank,Unhedged,+0%,-20%,-2028.17
HDFC Bank,Unhedged,+0%,+0%,0.0
HDFC Bank,Unhedged,+0%,+20%,2219.8
HDFC Bank,Unhedged,+1%,-20%,344.49
HDFC Bank,Unhedged,+1%,+0%,2096.51
HDFC Bank,Unhedged,+1%,+20%,4087.59
HDFC Bank,Unhedged,+2%,-20%,3202.44
HDFC Bank,Unhedged,+2%,+0%,4646.08
HDFC Bank,Unhedged,+2%,+20%,6374.77
HDFC Bank,Delta-Hedged,-2%,-20%,-1240.51
HDFC Bank,Delta-Hedged,-2%,+0%,1128.22
HDFC Bank,Delta-Hedged,-2%,+20%,3626.66
HDFC Bank,Delta-Hedged,-1%,-20%,-1969.06
HDFC Bank,Delta-Hedged,-1%,+0%,272.82
HDFC Bank,Delta-Hedged,-1%,+20%,2667.45
HDFC Bank,Delta-Hedged,+0%,-20%,-2028.17
HDFC Bank,Delta-Hedged,+0%,+0%,0.0
HDFC Bank,Delta-Hedged,+0%,+20%,2219.8
HDFC Bank,Delta-Hedged,+1%,-20%,-1501.22
HDFC Bank,Delta-Hedged,+1%,+0%,250.81
HDFC Bank,Delta-Hedged,+1%,+20%,2241.88
HDFC Bank,Delta-Hedged,+2%,-20%,-488.98
HDFC Bank,Delta-Hedged,+2%,+0%,954.66
HDFC Bank,Delta-Hedged,+2%,+20%,2683.36
HDFC Bank,Liquidity-Adjusted,-2%,-20%,-1295.69
HDFC Bank,Liquidity-Adjusted,-2%,+0%,1073.03
HDFC Bank,Liquidity-Adjusted,-2%,+20%,3571.47
HDFC Bank,Liquidity-Adjusted,-1%,-20%,-2015.02
HDFC Bank,Liquidity-Adjusted,-1%,+0%,226.86
HDFC Bank,Liquidity-Adjusted,-1%,+20%,2621.49
HDFC Bank,Liquidity-Adjusted,+0%,-20%,-2064.89
HDFC Bank,Liquidity-Adjusted,+0%,+0%,-36.73
HDFC Bank,Liquidity-Adjusted,+0%,+20%,2183.07
HDFC Bank,Liquidity-Adjusted,+1%,-20%,-1528.72
HDFC Bank,Liquidity-Adjusted,+1%,+0%,223.3
HDFC Bank,Liquidity-Adjusted,+1%,+20%,2214.38
HDFC Bank,Liquidity-Adjusted,+2%,-20%,-507.25
HDFC Bank,Liquidity-Adjusted,+2%,+0%,936.39
HDFC Bank,Liquidity-Adjusted,+2%,+20%,2665.08
Nestle India,Unhedged,-2%,-20%,-11197.34
Nestle India,Unhedged,-2%,+0%,-6722.22
Nestle India,Unhedged,-2%,+20%,-2202.18
Nestle India,Unhedged,-1%,-20%,-8019.42
Nestle India,Unhedged,-1%,+0%,-3949.42
Nestle India,Unhedged,-1%,+20%,243.87
Nestle India,Unhedged,+0%,-20%,-3424.12
Nestle India,Unhedged,+0%,+0%,0.0
Nestle India,Unhedged,+0%,+20%,3696.29
Nestle India,Unhedged,+1%,-20%,2308.66
Nestle India,Unhedged,+1%,+0%,4946.45
Nestle India,Unhedged,+1%,+20%,8034.68
Nestle India,Unhedged,+2%,-20%,8854.06
Nestle India,Unhedged,+2%,+0%,10683.71
Nestle India,Unhedged,+2%,+20%,13120.21
Nestle India,Delta-Hedged,-2%,-20%,-2235.48
Nestle India,Delta-Hedged,-2%,+0%,2239.64
Nestle India,Delta-Hedged,-2%,+20%,6759.68
Nestle India,Delta-Hedged,-1%,-20%,-3538.49
Nestle India,Delta-Hedged,-1%,+0%,531.51
Nestle India,Delta-Hedged,-1%,+20%,4724.79
Nestle India,Delta-Hedged,+0%,-20%,-3424.12
Nestle India,Delta-Hedged,+0%,+0%,0.0
Nestle India,Delta-Hedged,+0%,+20%,3696.29
Nestle India,Delta-Hedged,+1%,-20%,-2172.27
Nestle India,Delta-Hedged,+1%,+0%,465.52
Nestle India,Delta-Hedged,+1%,+20%,3553.75
Nestle India,Delta-Hedged,+2%,-20%,-107.8
Nestle India,Delta-Hedged,+2%,+0%,1721.86
Nestle India,Delta-Hedged,+2%,+20%,4158.35
Nestle India,Liquidity-Adjusted,-2%,-20%,-5302.23
Nestle India,Liquidity-Adjusted,-2%,+0%,-827.11
Nestle India,Liquidity-Adjusted,-2%,+20%,3692.93
Nestle India,Liquidity-Adjusted,-1%,-20%,-5328.17
Nestle India,Liquidity-Adjusted,-1%,+0%,-1258.18
Nestle India,Liquidity-Adjusted,-1%,+20%,2935.11
Nestle India,Liquidity-Adjusted,+0%,-20%,-3936.74
Nestle India,Liquidity-Adjusted,+0%,+0%,-512.62
Nestle India,Liquidity-Adjusted,+0%,+20%,3183.67
Nestle India,Liquidity-Adjusted,+1%,-20%,-1407.82
Nestle India,Liquidity-Adjusted,+1%,+0%,1229.97
Nestle India,Liquidity-Adjusted,+1%,+20%,4318.2
Nestle India,Liquidity-Adjusted,+2%,-20%,1933.71
Nestle India,Liquidity-Adjusted,+2%,+0%,3763.37
Nestle India,Liquidity-Adjusted,+2%,+20%,6199.87
